name,fullname
wuhCor1,SARS-CoV-2
eboVir3,Ebola Virus
Ecoli,Ecoli
Yersinia_pestis,Yersinia pestis
Bacillus_cereus,Bacillus cereus
Streptococcus_pneumoniae,Streptococcus pneumoniae
sacCer3,Yeast
aplCal1,California Sea Hare
priPac1,Pristionchus Pacificus
caeJap1,C. japonica
caePb2,C. brenneri
caeRem3, C. remanei
ce11,C. elegans
apiMel2,Honey Bee
anoGam3,African Malaria Mosquito
droGri2,Drosophila_grimshawi
droVir3,Drosophila_virilis
droMoj3,Drosophila_mojavensis
dp4,Drosophila_pseudoobscura
droPer1,Drosophila_persimilis
droAna3,Drosophila_ananassae
droYak2,Drosophila_yakuba
droSim1,Drosophila_simulans
droSec1,Drosophila_sechellia
dm6,Drosophila_melanogaster
droEre2,Drosophila_erecta
strPur2,Pacific Purple Sea Urchin
braFlo1,Florida Lancelet
ci3,Sea vase
petMar3,Lamprey
calMil1,Elephant Shark
danRer11,Zebrafish
gadMor1,Atlantic Cod
tetNig2,Tetraodon
fr3,Fugu
oreNil2,Nile Tilapia
oryLat2,Japanese Rice Fish
latCha1,Coelacanth
nanPar1,Frog
xenTro10,Tropical Clawed Frog
thaSir1,Garter Snake
anoCar2,Green Anole
chrPic1,Western Painted Turtle
allMis1,American Alligator
aptMan1,Southern Brown Kiwi
aquChr2,Golden Eagle
melUnd1,Budgerigar
taeGut2,Zebra Finch
geoFor1,Medium Ground Finch
melGal5,urkey
galGal6,Chicken
ornAna2,Platypus
macEug2,Tammar Wallaby
sarHar1,Tasmanian Devil
dasNov3,Nine-Banded Armadillo
choHof1,Hoffmann's Two-Toed Sloth
triMan1,Florida Manatee
proCap1,Cape Rock Hyrax
loxAfr3,African Savanna Elephant
echTel2,Lesser Madagascar Hedgehog
manPen1,Chinese Pangolin
pteVam1,Large Flying Fox
myoLuc2,Little Brown Bat
cerSim1,Southern White Rhinoceros
equCab3,Horse
sorAra2,European Shrew
felCat9,Domestic Cat
canFam5,Dog
musFur1,Domestic Ferret
ailMel1,Giant Panda
vicPac2,Alpaca
susScr11,Pig
oviAri4,Sheep
bosTau9,Cattle
balAcu1,Minke Whale
tupBel1,Treeshrew
oryCun2,Rabbit
ochPri3,American Pika
speTri2,Thirteen-Lined Ground Squirrel
dipOrd1,Ord's Kangaroo Rat
hetGla2,Naked Mole Rat
cavPor3,Domestic Guinea Pig
criGriChoV2,Chinese Hamster
rn7,Norway Rat
mm39,House Mouse
otoGar3,Small-Eared Galago
micMur2,Gray Mouse Lemur
tarSyr2,Philippine Tarsier
saiBol1,Bolivian Squirrel Monkey
calJac4,Marmoset
nomLeu3,Northern White-Cheeked Gibbon
hg38,Human
gorGor6,Western Iowland Gorilla
panTro6,Chimpanzee
panPan3,Bonobo
nasLar1,Proboscis Monkey
chlSab2,Green Monkey
papHam1,Hamadryas Baboon
papAnu4,Olive Baboon
rheMac10,Rhesus Monkey
macFas5,Crab-Eating Macaque
